production_type,start_date,end_date,updated_date,installed_capacity_mw
BIOMASS,2024-01-01 00:00:00+01:00,2025-01-01 00:00:00+01:00,2025-09-30 00:27:41+02:00,1416.23
FOSSIL_GAS,2024-01-01 00:00:00+01:00,2025-01-01 00:00:00+01:00,2025-12-04 00:34:50+01:00,12774.0
FOSSIL_HARD_COAL,2024-01-01 00:00:00+01:00,2025-01-01 00:00:00+01:00,2025-08-05 00:30:56+02:00,1810.71
FOSSIL_OIL,2024-01-01 00:00:00+01:00,2025-01-01 00:00:00+01:00,2025-12-04 00:34:50+01:00,2978.89
GEOTHERMAL,2024-01-01 00:00:00+01:00,2025-01-01 00:00:00+01:00,2025-08-05 00:30:56+02:00,1.85
HYDRO_PUMPED_STORAGE,2024-01-01 00:00:00+01:00,2025-01-01 00:00:00+01:00,2025-10-30 00:36:48+01:00,5060.78
HYDRO_RUN_OF_RIVER_AND_POUNDAGE,2024-01-01 00:00:00+01:00,2025-01-01 00:00:00+01:00,2025-08-05 00:30:56+02:00,11738.45
HYDRO_WATER_RESERVOIR,2024-01-01 00:00:00+01:00,2025-01-01 00:00:00+01:00,2025-12-04 00:34:50+01:00,8791.12
MARINE,2024-01-01 00:00:00+01:00,2025-01-01 00:00:00+01:00,2025-08-05 00:30:56+02:00,243.09
NUCLEAR,2024-01-01 00:00:00+01:00,2025-01-01 00:00:00+01:00,2025-08-05 00:30:56+02:00,62990.0
OTHER,2024-01-01 00:00:00+01:00,2025-01-01 00:00:00+01:00,2025-09-30 00:27:41+02:00,1045.84
SOLAR,2024-01-01 00:00:00+01:00,2025-01-01 00:00:00+01:00,2025-11-28 00:17:20+01:00,22856.75
WASTE,2024-01-01 00:00:00+01:00,2025-01-01 00:00:00+01:00,2025-08-05 00:30:56+02:00,1061.93
WIND_OFFSHORE,2024-01-01 00:00:00+01:00,2025-01-01 00:00:00+01:00,2025-08-05 00:30:56+02:00,1028.2
WIND_ONSHORE,2024-01-01 00:00:00+01:00,2025-01-01 00:00:00+01:00,2025-12-24 00:26:04+01:00,22927.62
